a bit	một chút, một tí
corruption	tham nhũng
contractor	nhà thầu
apologize	xin lỗi
doctrine	học thuyết
genuine	chính hãng
thumb	ngón tay cái
unity	thống nhất
compromise	thỏa hiệp
horrible	kinh khủng
behavioral	hành vi
exclusive	độc quyền
scatter	tiêu tan
commonly	thông thường
convey	chuyên chở
rush	vội vã
twist	xoắn
complexity	phức tạp
fork	cái nĩa
disk	đĩa
relieve	giải tỏa
suspicion	nghi ngờ
lock	Khóa
finish	hoàn thành
residence	nơi cư trú
shame	xấu hổ
meaningful	có ý nghĩa
sidewalk	đường đi bộ
Olympics	Thế vận hội
technological	công nghệ
signature	Chữ ký
pleasant	dễ chịu
wow	wow
suspend	đình chỉ
rebel	nổi loạn
frozen	đông lạnh
desire	khao khát
spouse	vợ / chồng
fluid	chất lỏng
pension	lương hưu
resume	tiếp tục
theoretical	lý thuyết
sodium	natri
blow	thổi
promotion	quảng cáo
delicate	tinh tế
forehead	trán
rebuild	xây dựng lại
bounce	tung lên
electrical	điện
hook	cái móc
detective	thám tử
traveler	du khách
click	nhấp chuột
compensation	đền bù
signal	tín hiệu
exit	lối thoát
attraction	sức hút
dedicate	dâng hiến
altogether	hoàn toàn
pickup	nhặt lên
carve	khắc chạm
needle	cây kim
belly	bụng
ship	tàu
scare	sợ hãi
portfolio	danh mục đầu tư
shuttle	đưa đón
invisible	vô hình
timing	thời gian
engagement	hôn ước
ankle	mắt cá
transaction	Giao dịch
rescue	cứu hộ
counterpart	đối tác
historically	lịch sử
firmly	vững chắc
mild	nhẹ nhàng
rider	người lái
doll	búp bê
noon	trưa
exhibit	triển lãm
amid	giữa
identical	giống nhau
precise	tóm lược
anxious	lo lắng
structural	cấu trúc
residential	nhà ở
loud	to tiếng
diagnose	chẩn đoán
carbohydrate	carbohydrate
liberty	tự do
poster	áp phích
theology	thần học
nonprofit	phi lợi nhuận
crawl	thu thập thông tin
oxygen	ôxy
handsome	đẹp
magic	ma thuật
sum	tổng hợp
provided	cung cấp
businessman	doanh nhân
promising	hứa hẹn
conscious	có ý thức
determination	sự quyết tâm
donor	nhà tài trợ
hers	của cô ấy
pastor	mục sư
jazz	jazz
opera	opera
Japanese	tiếng Nhật
bite	cắn
frame	khung
evil	tà ác
acquisition	mua lại
pit	hố
hug	ôm
wildlife	động vật hoang dã
punish	trừng phạt
giant	khổng lồ
primary	sơ cấp
equity	công bằng
wrong	sai rồi
doorway	lối vào
departure	khởi hành
elevator	thang máy
teenage	thiếu niên
guidance	hướng dẫn
happiness	hạnh phúc
statue	bức tượng
pursuit	theo đuổi
repair	sửa
decent	phong nha
gym	phòng thể dục
oral	miệng
clerk	nhân viên bán hàng
Israeli	Israeli
envelope	phong bì
reporting	Báo cáo
destination	nơi đến
fist	nắm tay
endorse	chứng thực
exploration	thăm dò
generous	hào phóng
bath	bồn tắm
rescue	cứu hộ
thereby	bằng cách ấy
overall	tổng thể
indicator	chỉ thị
sunlight	ánh sáng mặt trời
feedback	Phản hồi
spectrum	quang phổ
purple	màu tím
laser	laser
bold	Dũng cảm
reluctant	lưỡng lự
starting	bắt đầu
expertise	chuyên môn
practically	thực tế
program	chương trình
picture	hình ảnh
tune	điều chỉnh
eating	Ăn
age	tuổi tác
volunteer	Tình nguyện
hint	dấu
sharply	mạnh
parade	diễu hành
advocate	biện hộ
realm	cảnh giới
ban	lệnh cấm
strip	dải
cancel	hủy bỏ
blend	trộn
therapist	nhà trị liệu
slice	lát
peel	lột vỏ
pizza	pizza
recipient	người nhận
hesitate	do dự
flip	lật
accounting	kế toán
debate	tranh luận
bias	sự thiên vị
huh	Huh
metaphor	phép ẩn dụ
candle	nến
handle	xử lý
worry	lo
judicial	tư pháp
entity	thực thể
suffering	đau khổ
full-time	toàn thời gian
feel	cảm thấy
lamp	đèn
garbage	rác thải
servant	người hầu
addition	thêm vào
regulatory	quy định
diplomatic	ngoại giao
elegant	thanh lịch
inside	phía trong
reception	tiếp nhận
vanish	biến mất
automatically	tự động
chin	cái cằm
trail	đường mòn
necessity	sự cần thiết
confess	xưng
racism	chủ nghĩa phân biệt chủng tộc
starter	bắt đầu
interior	Nội địa
banking	ngân hàng
casual	giản dị
gravity	nghiêm trọng
enroll	ghi danh
diminish	suy giảm
prevention	Phòng ngừa
Arab	Arab
value	giá trị
minimize	giảm thiểu
chop	chặt
performer	người biểu diễn
intent	ý định
isolate	cô lập
pump	máy bơm
inventory	hàng tồn kho
productive	có năng suất
assembly	hội,, tổ hợp
civic	công dân
silk	lụa
magnitude	độ lớn
steep	dốc
hostage	con tin
collector	người thu gom
popularity	phổ biến
kiss	hôn
alien	người ngoài hành tinh
dynamic	năng động
scary	đáng sợ
equation	phương trình
angel	Thiên thần
switch	công tắc điện
offering	chào bán
rage	giận dữ
photography	nhiếp ảnh
repair	sửa
toilet	phòng vệ sinh
disappointed	thất vọng
precious	quí
prohibit	cấm
representative	Tiêu biểu
content	Nội dung
realistic	thực tế
Russian	Người Nga
hidden	ẩn
command	chỉ huy
tender	đấu thầu
wake	đánh thức
gathering	thu thập
outstanding	nổi bật
stumble	tình cờ gặp
lonely	cô đơn
automobile	ôtô
artificial	nhân tạo
dawn	bình minh
abstract	trừu tượng
descend	hạ xuống
silly	ngớ ngẩn
hook	cái móc
tide	thủy triều
shared	chia sẻ
hopefully	hy vọng
readily	dễ dàng
cooperate	hợp tác
revolutionary	cách mạng
romance	lãng mạn
hardware	phần cứng
pillow	cái gối
kit	bộ dụng cụ
cook	nấu ăn
spread	Lan tràn
continent	lục địa
seal	niêm phong
circuit	mạch
sink	bồn rửa
ruling	phán quyết
shortage	sự thiếu
annually	hàng năm
lately	gần đây
trap	bẩy
scan	quét
fool	ngu xuẩn
deadline	hạn chót
rear	phía sau
processing	Chế biến
ranch	trang trại
coastal	duyên hải
undertake	thực hiện
softly	nhẹ nhàng
reserve	dự trữ
burning	đốt
verbal	lời nói
tribal	bộ lạc
ridiculous	nực cười
automatic	tự động
diamond	kim cương
credibility	uy tín
import	nhập khẩu
sexually	tình dục
spring	mùa xuân
way	đường
divine	thần thánh
sentiment	tình cảm
cart	xe đẩy
oversee	giám sát
stem	thân cây
elder	đàn anh
pro	pro
inspiration	cảm hứng
Dutch	Người Hà Lan
quantity	số lượng
trailer	trailer
mate	người bạn đời
o'clock	giờ
Greek	người Hy Lạp
genius	Thiên tài
monument	tượng đài
bid	BID
quest	nhiệm vụ
sacrifice	sự hy sinh
invitation	lời mời
accuracy	tính chính xác
juror	bồi thẩm đoàn
officially	chính thức
broker	người môi giới
treasure	kho báu
loyalty	lòng trung thành
credit	tín dụng
shock	sốc
talented	có tài
gasoline	xăng
stiff	cứng
output	đầu ra
nominee	ứng cử viên
extended	mở rộng
please	xin vui lòng
diabetes	Bệnh tiểu đường
slap	tát
toxic	chất độc
alleged	cáo buộc
jaw	hàm
grief	đau buồn
mysterious	huyền bí
rocket	tên lửa
donate	hiến tặng
inmate	tù nhân
tackle	giải quyết
dynamics	động lực học
bow	cây cung
ours	của chúng tôi
senior	cao cấp
dignity	phẩm giá
carpet	thảm
parental	cha mẹ
bubble	bong bóng
heat	nhiệt
buddy	Bạn bè
barn	chuồng trại
sword	thanh kiếm
flash	đèn flash
seventh	thứ bảy
glory	vinh quang
tightly	chặt chẽ
protective	bảo vệ
tuck	tuck
drum	trống
faint	mờ nhạt
post	bài đăng
queen	nữ hoàng
dilemma	tình trạng khó xử
input	đầu vào
specialize	chuyên môn hóa
northeast	đông bắc
shallow	nông
liability	trách nhiệm pháp lý
sail	cánh buồm
merchant	thương gia
stadium	sân vận động
improved	cải tiến
bloody	dính máu
defeat	đánh bại
associated	liên kết
withdrawal	thu hồi
refrigerator	tủ lạnh
nest	tổ
near	ở gần
thoroughly	triệt để
lane	lane
ancestor	tổ tiên
condemn	lên án
steam	hơi nước
accent	giọng điệu
escape	thoát khỏi
optimistic	lạc quan
unite	thống nhất
cage	cái lồng
equip	Trang bị
shrimp	con tôm
homeland	quê hương
exchange	trao đổi, giao dịch
rack	giá đỡ
costume	trang phục
wolf	chó sói
courtroom	phòng xử án
statute	đạo luật
cartoon	hoạt hình
besides	ngoài ra
productivity	năng suất
grin	nụ cười
symbolic	tượng trưng
seal	niêm phong
bug	lỗi
bless	ban phước
aunt	cô dì
agriculture	nông nghiệp
rock	đá
hostile	Hostile
root	nguồn gốc
conceive	thụ thai
combined	kết hợp
instantly	ngay lập tức
bankruptcy	phá sản
vaccine	vắc-xin
bonus	thưởng
collaboration	hợp tác
mixed	pha trộn
opposed	phản đối
orbit	quỹ đạo
grasp	sự hiểu biết
patience	kiên nhẫn
spite	bất bình
tropical	nhiệt đới
voting	bầu cử
patrol	tuần tra
willingness	sự sẵn lòng
position	Chức vụ
revelation	sự mặc khải
rent	thuê
calm	điềm tĩnh
jewelry	đồ trang sức
Cuban	Cuba
haul	lôi
concede	công nhận
trace	dấu vết
wagon	toa xe
afterward	sau đó
spectacular	đẹp mắt
ruin	phá hoại
sheer	tuyệt
prior	trước
immune	miễn dịch
reliability	độ tin cậy
ass	mông
alongside	bên cạnh
bush	cây bụi
exotic	kỳ lạ
fascinating	hấp dẫn
secure	đảm bảo
clip	kẹp
thigh	đùi
bull	con bò
drawer	ngăn kéo
regard	quan tâm
sheep	cừu
discourage	gây chán nản cho
coordinator	điều phối viên
ideological	ý thức hệ
runner	người chạy
secular	thế tục
intimate	thân mật
empire	đế chế
cab	taxi
divorce	ly hôn
exam	thi
documentary	phim tài liệu
neutral	Trung tính
biology	sinh học
flexible	linh hoạt
progressive	cấp tiến
web	web
conspiracy	âm mưu
catch	bắt lấy
casualty	tai nạn
republic	nước cộng hòa
execution	chấp hành
terrific	khủng khiếp
whale	cá voi
functional	chức năng
star	ngôi sao
draft	bản nháp
instinct	bản năng
teammate	đồng đội
aluminum	nhôm
whoever	bất cứ ai
ministry	Bộ
verdict	bản án
instruct	dạy
skull	sọ
self-esteem	lòng tự trọng
ease	giảm bớt
cooperative	hợp tác xã
manipulate	vận dụng
bee	con ong
practitioner	học viên
loop	vòng lặp
edit	chỉnh sửa
whip	roi da
puzzle	câu đố
mushroom	nấm
subsidy	trợ cấp
boil	sôi lên
tragic	bi kịch
mathematics	toán học
mechanic	thợ cơ khí
jar	lọ
respect	sự tôn trọng
earthquake	động đất
pork	thịt heo
creativity	sáng tạo
safely	an toàn
underlying	cơ bản
dessert	món tráng miệng
sympathy	cảm thông
fisherman	ngư dân
incredibly	vô cùng
isolation	cô lập
sock	bít tất
near	ở gần
jump	nhảy
eleven	mười một
sexy	sexy
entrepreneur	doanh nhân
syndrome	hội chứng
bureau	phòng làm việc
seat	ghế
workplace	nơi làm việc
ambition	tham vọng
touchdown	đụng
utilize	sử dụng
breeze	khoe khoang
costly	tốn kém
ambitious	đầy tham vọng
Christianity	Cơ đốc giáo
presumably	có lẽ
influential	có ảnh hưởng
translation	dịch
uncertain	không chắc chắn
dissolve	giải thể
object	vật
statistical	thống kê
gut	ruột
metropolitan	đô thị
rolling	lăn
aesthetic	thẩm mỹ
spell	Đánh vần
insert	chèn
booth	gian hàng
helmet	mũ bảo hiểm
waist	eo
expected	kỳ vọng
lion	sư tử
accomplishment	hoàn thành
royal	hoàng tộc
panic	hoảng loạn
cast	dàn diễn viên
crush	nghiền nát
actively	tích cực
cliff	vách đá
minimal	tối thiểu
cord	dây
fortunately	may mắn
cocaine	cocaine
illusion	ảo giác
anonymous	vô danh
tolerate	tha thứ
appreciation	sự đánh giá
commissioner	ủy viên
harm	làm hại
flexibility	Mềm dẻo
instructional	hướng dẫn
scramble	tranh giành
casino	casino
tumor	khối u
decorate	trang trí
sort	sắp xếp
charge	sạc điện
pulse	xung
equivalent	tương đương
fixed	đã sửa
experienced	có kinh nghiệm
donation	Quyên góp
diary	Nhật ký
sibling	anh chị em ruột
irony	mỉa mai
spoon	cái thìa
midst	giữa
alley	hẻm
upset	buồn bã
interact	tương tác
soap	xà bông
cute	dễ thương
rival	đối thủ
short-term	thời gian ngắn
punch	đấm
pin	ghim
hockey	khúc côn cầu
passing	đi qua
persist	tồn tại
supplier	nhà cung cấp
known	nổi tiếng
momentum	Đà
purse	cái ví
shed	đổ ra
liquid	chất lỏng
icon	biểu tượng
elephant	con voi
consequently	hậu quả là
legislature	cơ quan lập pháp
associate	liên kết
franchise	nhượng quyền thương mại
correctly	đúng
mentally	tinh thần
foster	nuôi dưỡng
bicycle	Xe đạp
encouraging	khuyến khích
cheat	lừa đảo
access	truy cập
heal	chữa lành
fever	sốt
filter	lọc
rabbit	Con thỏ
coin	đồng tiền
exploit	khai thác
accessible	có thể truy cập
organism	cơ thể
sensation	cảm giác
partially	một phần
stay	ở lại
upstairs	tầng trên
dried	khô
minimum	tối thiểu
pro	pro
conservation	bảo tồn
shove	xô
backyard	sân sau
charter	điều lệ
stove	bếp
consent	bằng lòng
comprise	bao gồm
reminder	nhắc nhở
alike	như nhau
placement	vị trí
dough	bột
grandchild	cháu ngoại
dam	con đập
reportedly	báo cáo
well-known	nổi tiếng
surrounding	xung quanh
ecological	sinh thái
outfit	trang phục
unprecedented	chưa từng có
columnist	nhà bình luận viên
workout	tập thể dục
preliminary	sơ bộ
patent	bằng sáng chế
shy	nhát
quote	Trích dẫn
trash	rác
disabled	tàn tật
gross	Tổng
damn	chỉ trích
hormone	hoocmon
texture	kết cấu
counter	quầy tính tiền
pencil	bút chì
associate	liên kết
frontier	biên giới
spray	Xịt nước
bet	cá cược
disclose	tiết lộ
custody	quyền nuôi con
banker	chủ ngân hàng
beast	quái thú
interfere	gây trở ngại
oak	cây sồi
case	trường hợp
eighth	thứ tám
notebook	sổ tay
outline	đề cương
gaze	nhìn chằm chằm
attendance	sự tham dự
speculation	suy đoán
uncover	khám phá
behalf	thay mặt
innovative	sáng tạo
shark	cá mập
reward	phần thưởng
mill	cối xay
installation	cài đặt
stimulate	kích thích
tag	nhãn
vertical	theo chiều dọc
swimming	bơi lội
fleet	hạm đội
catalog	mục lục
outsider	người ngoài
sacrifice	sự hy sinh
desperately	tuyệt vọng
stance	lập trường
compel	bắt buộc
sensitivity	nhạy cảm
someday	một ngày nào đó
instant	tức thời
debut	ra mắt
proclaim	tuyên bố
worldwide	trên toàn thế giới
hike	đi lang thang
required	cần thiết
confrontation	đối đầu
colorful	Đầy màu sắc
ideal	lý tưởng
constitution	hiến pháp
trainer	người huấn luyện
Thanksgiving	Lễ Tạ ơn
scent	hương thơm
stack	cây rơm
eyebrow	lông mày
sack	bao
cease	ngưng
inherit	thừa kế
tray	cái mâm
pioneer	người tiên phong
organizational	tổ chức
textbook	sách giáo khoa
uh	uh
nasty	bẩn thỉu
shrink	co lại
model	mô hình
emerging	mới nổi
dot	dấu chấm
wheat	lúa mì
fierce	khốc liệt
envision	hình dung
rational	hợp lý
kingdom	Vương quốc
aisle	lối đi
weaken	làm suy yếu
protocol	giao thức
exclusively	duy nhất
vocal	tiếng hát
marketplace	thương trường
openly	cởi mở
unfair	không công bằng
terrain	địa hình
deploy	triển khai
risky	rủi ro
pasta	mỳ ống
genre	thể loại
distract	làm mất tập trung
merit	n	Xứng đáng
planner	lập kế hoạch
depressed	suy sụp
chunk	mảnh
closest	gần nhất
discount	giảm giá
no	Không
ladder	thang
jungle	rừng nhiệt đới
migration	di cư
breathing	thở
invade	xâm chiếm
hurricane	bão
retailer	nhà bán lẻ
classify	phân loại
wound	vết thương
coup	cuộc đảo chính
aid	viện trợ
ambassador	đại sứ
density	tỉ trọng
supportive	hỗ trợ
curiosity	sự tò mò
skip	bỏ qua
aggression	Hiếu chiến
stimulus	kích thích kinh tế
journalism	báo chí
robot	robot
flood	lũ
dip	nhúng
likewise	tương tự
informal	không chính thức
Persian	Người Ba Tư
feather	lông vũ
sphere	quả cầu
tighten	thắt chặt
boast	khoe khoan
pat	vỗ vỗ
perceived	lĩnh hội
sole	Duy Nhất
publicity	công khai
major	chính
unfold	mở ra
joke	đùa
well-being	hạnh phúc
validity	hiệu lực
ecosystem	hệ sinh thái
strictly	nghiêm khắc
partial	một phần
collar	cổ áo
weed	cỏ dại
compliance	sự tuân thủ
streak	streak
supposedly	được cho là
added	thêm
builder	người xây dựng
glimpse	nhìn thoáng qua
premise	tiền đề
specialty	chuyên môn
deem	thấy
artifact	đồ tạo tác
sneak	sneak
monkey	con khỉ
